Headline,IDLink,PublishDate,Source,Title,Topic,TS1,TS2,TS3,stage,label_available
ATHENS (Reuters) - Greece's economy contracted at a faster pace in the third quarter than previously estimated as capital controls to shore up,5072,2015-11-27 11:34:12,StreetInsider.com,"Greek economy shrinks in third quarter on weak exports, investment",economy,,0.0,0.0,training,True
"Tuvey said the October data suggested the economy would slow more than that consensus, though he added that Saudi Arabia would probably",5089,2015-11-27 12:03:14,Reuters,"Saudi money supply, loan data show economy slowing",economy,,,2.0,training,True
"&quot;But in relative terms, I supposed it is the economy that is coming back. The economy, that mind you, has delevered, as against to a lot of EMs,",5080,2015-11-27 12:05:12,CNBC,Who's a tiger economy these days? A goat,economy,,,5.0,training,True
"Diana Choyleva, chief economist at Lombard Street, examines the issues impacting China's markets and economy, the need for currency",5081,2015-11-27 12:06:13,Bloomberg,Can China's Economy Transition Without Crisis?,economy,,,0.0,training,True
"COMMENTARY: Black Friday sales count for US economy During normal economic times, about 70 percent of U.S. business activity is driven",5106,2015-11-27 13:50:16,Monitor,COMMENTARY: Black Friday sales count for US economy,economy,,,0.0,training,True
"TAIPEI -- Taiwan's trade-reliant economy will recover somewhat in the fourth quarter from the July-September period's contraction, but it is set to",5112,2015-11-27 14:15:14,Nikkei Asian Review,Taiwan economy GDP growth flat in Q4; full-year expansion seen ...,economy,,,2.0,training,True
"Gross domestic product in Latin America's largest economy likely Output probably shrank all across the economy in the third quarter,",5110,2015-11-27 14:19:11,Reuters UK,Brazil's economy tailspin seen at record speed in third quarter,economy,,,1.0,training,True
"Russia is set to introduce economic sanctions against Turkey. The measures may include an embargo on Turkish food imports, the suspension",5111,2015-11-27 14:49:13,Sputnik International,Russian Sanctions Will Badly Hurt Turkish Economy After Downing ...,economy,0.0,4.0,4.0,training,True
RBS economists dug into the report and warned that the economy lost momentum this year. Their preferred measure is GDP ex-oil and gas.,5140,2015-11-27 16:03:13,ForexLive,UK economy has lost momentum - RBS,economy,,3.0,3.0,training,True
"FRANKFURT, Nov 27 (Reuters) - The world's two biggest central banks will move decisively in opposing directions next week, with the ECB",5141,2015-11-27 16:34:14,Thomson Reuters Foundation,"GLOBAL ECONOMY WEEKAHEAD-ECB easing, US jobs data in focus",economy,0.0,0.0,0.0,training,True
"FRANKFURT: The world's two biggest central banks will move decisively in opposing directions next week, with the ECB almost certain to ease",5165,2015-11-27 17:43:13,Economic Times,"Global economy weekahead: ECB easing, US jobs data in focus",economy,,2.0,2.0,training,True
"After 2020, global emissions would start to come down, with the key to this strategy being it is achievable without sacrificing economic growth.",5187,2015-11-27 19:27:12,bnn.ca,Trudeau's climate challenge: Cut carbon without killing the economy,economy,,,0.0,training,True
HONG KONG -- The debate over whether the service sector is replacing manufacturing as the growth engine for China's economy has global,5181,2015-11-27 19:35:13,Nikkei Asian Review,"Shift to service sector sends global ripples, weakens imports",economy,,,0.0,training,True
"PORTLAND, Maine """""" For economic insights, Black Friday's contain almost no useful information about the state of the economy,"""""" he wrote.",5184,2015-11-27 19:42:14,Bangor Daily News,Wondering what Black Friday sales say about the economy? Get in ...,economy,,0.0,0.0,training,True
"The economy, it should be noted, was not improving measurably at the end of last year. GDP growth in the fourth quarter last year was just 2.2",5189,2015-11-27 20:31:13,Breitbart News,Black Friday Hype Can't Overcome Economy,economy,0.0,0.0,2.0,training,True
"That slowed growth could impact the broader economy, keeping businesses from investing in capital projects and hiring more employees.",5200,2015-11-27 22:00:14,International Business Times,Small Business Bank Loans: Declining Interest Could Hurt ...,economy,,,0.0,training,True
"According to him: """"""The nation's economy would be better when we have the right people at the right places. We looked at the Treasury Single",5206,2015-11-27 23:03:13,Vanguard,Nigeria can't sustain generator-based economy  SSANU,economy,0.0,0.0,0.0,training,True
"Small Business Saturday is November 28th. It's a day to support local businesses that create jobs, boost the economy, and preserve neighborhoods around the",5211,2015-11-27 23:42:14,OurQuadCities,Support QC economy on Small Business Saturday,economy,0.0,0.0,1.0,training,True
Large fiscal buffers built up by the UAE's Central Bank will protect the local economy from the impact of global external factors such as low oil,5213,2015-11-28 00:08:13,ArabianBusiness.com,UAE says fiscal buffers 'will protect economy from cheap oil',economy,,0.0,0.0,training,True
"As China's annual economic growth hovers around seven per cent, the country's communist leaders are justifying it as the new normal.",5217,2015-11-28 01:01:13,Daily News & Analysis,"Despite tom-tomming of growth figures, economy beset with severe ...",economy,0.0,0.0,0.0,training,True
"In fact, he said that if we had taken the axe to the budget a bit more quickly, the economy might have started to recover in early 2012, rather",5219,2015-11-28 01:02:14,Irish Times,Pain of austerity was unavoidable once recessionary teeth sank into ...,economy,0.0,0.0,0.0,training,True
"WATCH ABOVE: Black Friday shoppers in Calgary lined up early, looking for deals despite the struggling economy. David Boushy reports.",5220,2015-11-28 01:08:14,Globalnews.ca,Big turnout on Black Friday despite sluggish economy,economy,19.0,19.0,19.0,training,True
"With lakhs of rupees being transacted on a daily basis, they are increasingly vouching for a cashless economy. Petrol pump owner Nishit Goel",5224,2015-11-28 02:40:14,The Hindu,Worried traders call for cashless economy,economy,,,0.0,training,True
"FISHERS, Ind. (WISH) """""" SOme small business owners are hoping to take advantage of the 'Small Business Saturday' that is in response to big",5262,2015-11-28 11:48:18,WISH-TV,'Small Business Saturday' boosts local economy,economy,,5.0,9.0,training,True
"Expanding flying rights for UAE airlines into India could help to boost the subcontinent's economy, but the move would come at the expense of",5264,2015-11-28 12:06:12,The National,More Emirates flights into India to boost economy but hurt local airlines,economy,,1.0,1.0,training,True
"Keeping up with last week's Autumn Statement was all about staying upright, with your eyes wide open, in a blizzard of statistics. The numbers",5287,2015-11-28 17:08:11,Telegraph.co.uk,Osborne has opted to put the economy on a riskier path,economy,,1.0,1.0,training,True
"The so-called &quot;share economy&quot; includes independent contractors, temporary workers, the self-employed, part-timers, freelancers, and free",5288,2015-11-28 17:08:15,Huffington Post,Why the Sharing Economy Is Harming Workers -- and What Must Be ...,economy,,,19.0,training,True
Federal Minister for Finance and Economic Affairs Senator Ishaq Dar on Friday hinted at important development regarding small and medium,5296,2015-11-28 18:06:15,Pakistan Today,"Being Muslims, our ultimate goal should be riba-free economy: Dar",economy,,,0.0,training,True
"It is a disaster prompted by economic activity, but of a magnitude equivalent to those disasters created by forces of nature."""""" [""""""] The deluge",5295,2015-11-28 18:12:14,Truthdig,VIDEOS: Worst Mining Disaster in Brazil's History Devastates Village ...,economy,,,54.0,training,True
"Scotland's economy will be badly damaged if the SNP keeps talking up the chances of a second independence referendum, the Scottish",5301,2015-11-28 21:07:12,The Independent,"Talk of second referendum will damage Scotland's economy, says ...",economy,,0.0,0.0,training,True
&quot;We know that 2/3 of the jobs being are created by small businesses so small businesses are really the engine that drives the economy in,5306,2015-11-28 22:53:15,fox6now.com,The engine that drives the economy: Holiday shoppers give back ...,economy,0.0,0.0,0.0,training,True
"No agreement has been reached in the ongoing talks between USW and ArcelorMittal and U.S. Steel, and the economic impact potentially",5314,2015-11-29 01:33:14,nwitimes.com,Any steel mill work stoppage would impact NWI economy,economy,0.0,0.0,0.0,training,True
The impact of the greenfield airports and urbanization has significant impact on economic growth. The Government of India has decided that,5321,2015-11-29 02:42:17,Eurasia Review,Role Of Greenfield Airports In Greening Indian Economy  Analysis,economy,,2.0,2.0,training,True
"A report in this newspaper showed that in Lincolnshire, 70,000 employees, which is 29 per cent of the county's workforce, earn less than the",5331,2015-11-29 05:21:16,Lincolnshire Echo,'Our economy may look strong to David Cameron but we've 70000 ...,economy,,,0.0,training,True
"Instead he focused his remarks on the document about economic policy that the party issued last week. Actually, this is the second document",5354,2015-11-29 10:50:14,Malta Independent Online,"PN leader (from Vancouver) focuses on the economy, not on CHOGM",economy,0.0,0.0,0.0,training,True
"From London, a warning: the commodities crisis may inflict even more damage on the Australian economy at large. The country is already",5364,2015-11-29 13:07:13,The Australian,Commodity crisis could cause more damage to economy,economy,,,0.0,training,True
Clark asked him how much climate change his party would be willing to accept in order to shield the economy. Fast repeated that striking a,5378,2015-11-29 16:00:16,Globalnews.ca,Balance needed between environment and economy: environment ...,economy,,0.0,2.0,training,True
"China's best shot at avoiding an economic hard landing may come down to people like Li Chao, a onetime hireling in the Beijing government's",5380,2015-11-29 16:17:13,Bloomberg,Meet the Everyday People Who are Transforming China's Economy,economy,,2.0,3.0,training,True
"In developing a blue economy, ocean security is a major issue, especially for our country due to our West Philippine Sea dispute with China.",5382,2015-11-29 16:21:12,Inquirer.net,Toward a new 'blue' economy,economy,,1.0,1.0,training,True
"FRANKFURT: The world's two biggest central banks will move decisively in opposing directions in the coming week, with the ECB almost",5386,2015-11-29 16:30:13,Economic Times,"Global economy week ahead: ECB easing, US jobs data in focus",economy,,,1.0,training,True
Voters praised the administration's economy-first approach since the October cabinet reshuffle. Measures aimed at boosting the economy lifted,5383,2015-11-29 16:32:12,Nikkei Asian Review,Nikkei survey Voters applaud Abe's pivot to economy,economy,,0.0,2.0,training,True
"The economy has enough momentum to keep the Fed on course to raise """"""The plow-horse economy continues to move forward, just not by",5389,2015-11-29 17:01:17,MarketWatch,November jobs report likely to give Fed go-ahead to raise interest ...,economy,,1.0,4.0,training,True
"The so-called """"""share economy"""""" includes independent contractors, temporary workers, the self-employed, part-timers, freelancers, and free",5391,2015-11-29 17:55:13,AlterNet,Robert Reich: Why the High-Tech 'Sharing Economy' Is All About ...,economy,0.0,1.0,3.0,training,True
"We face several wars and the battle of the Economy will make the difference. A global world of complexity, uncertainty, stronger competition",5393,2015-11-29 18:32:13,New Europe,The Battle of the Economy,economy,0.0,0.0,0.0,training,True
"German newspaper Bild claims that top brass was aware of misleading fuel economy estimates about a year ago, or months before it became",5400,2015-11-29 18:57:13,Engadget,VW reportedly knew its fuel economy figures were wrong a year ago,economy,,33.0,43.0,training,True
"Budget monitor author Chris Richardson said China's economic slowdown continued to pummel profits, having a significant impact on",5401,2015-11-29 19:12:13,Chronicle,China's economy hampering attempts to fix our own: report,economy,,0.0,0.0,training,True
"Budget monitor author Chris Richardson said China's economic slowdown continued to pummel profits, having a significant impact on",5405,2015-11-29 19:21:13,Northern Star,China's economy hampering attempts to fix our own: report,economy,,,1.0,training,True
"Speaking from Paris, Robertson says Canada has the opportunity to become a world leader on climate change and the green economy, which",5407,2015-11-29 21:04:13,CTV News,"Vancouver mayor talks climate, green economy with PM in Paris",economy,0.0,0.0,0.0,training,True
"NEW DELHI, Nov 30 India's economic growth likely picked up in the July-September quarter, outpacing China on improving domestic demand",5408,2015-11-29 21:08:14,Reuters UK,"India's economic growth seen picking up, RBI may hold rates steady",economy,0.0,0.0,0.0,training,True
"Crude prices at that level will push the economy to depths that would threaten the nation's financial system, according to 63 percent of",5411,2015-11-29 21:19:13,Bloomberg,The $30 Oil Cliff Threatening Russia's Economy,economy,,,2.0,training,True
"NEW DELHI: India's economic growth likely picked up in the July-September quarter, outpacing China on improving domestic demand and",5410,2015-11-29 21:24:13,Economic Times,"India's economic growth seen picking up, RBI may hold rates steady",economy,,4.0,4.0,training,True
"As the banks begin reporting fiscal fourth-quarter results on Tuesday, observers will be looking for any signs that the slow Canadian economy",5415,2015-11-29 22:17:16,The Globe and Mail,Banks' fourth-quarter reports to detail effects of slow Canadian ...,economy,0.0,0.0,0.0,training,True
"EDMONTON """""" Charities across Alberta said they're noticing pressure on the economy and it's affecting their bottom line. """"""It's always a",5419,2015-11-29 23:02:19,Globalnews.ca,Economy putting pressure on Alberta charities,economy,2.0,5.0,16.0,training,True
"He said: """"""It is difficult to deal with the digital economy. Lets' take Amazon for instance. If you want to order anything, you can just open your",5421,2015-11-29 23:23:16,Vanguard,Taxation: Why digital economy remains elusive  Oyedele,economy,0.0,1.0,1.0,training,True
"The economy is moribund and Thai households are among the most indebted in Asia. King Bhumibol Adulyadej, the epoxy of a fractured nation",5424,2015-11-29 23:50:12,New York Times,"Thai Economy, and Spirits, Are Sagging",economy,,21.0,30.0,training,True
"Lower taxes and higher immigration are vital to boosting the economy and supporting growth across the UK, according to the Confederation of",5428,2015-11-30 00:01:12,Telegraph.co.uk,New CBI chief: cut taxes and boost immigration to grow economy,economy,,1.0,5.0,training,True
"Dylan Seufer, top, and Brady Underman, both of Soderbergh Masonry, worked inside the two-story gymnasium of Kelly Walsh High School in",5429,2015-11-30 00:11:14,Casper Star-Tribune Online,Tourism and construction help Wyoming's economy during oil and ...,economy,,0.0,0.0,training,True
"The economy is improving significantly.Consumers are still a little bit apprehensive about running up credit card debt,but are feeling a little bit more comfortable",5433,2015-11-30 00:20:14,KARK,Arkansas Economy Significantly Improving,economy,,,0.0,training,True
"Scotland's forestry sector is contributing nearly """"1 billion to the economy through forest management, timber processing and recreation,",5430,2015-11-30 00:26:15,shropshirestar.com,Scotland's forests 'bringing nearly 1bn to economy',economy,0.0,0.0,0.0,training,True
"Business. The economy is expected to have bounced back, thanks to a surge in the volume of mining exports. Monday November 30, 2015.",5436,2015-11-30 00:31:16,InDaily,Mining surge helps economy bounce back,economy,,0.0,0.0,training,True
"Yet despite the prosperous appearance, a chill has already settled over Eskisehir's economy, and Turkey's, as exports to China and the Middle",5432,2015-11-30 00:32:12,New York Times,Tensions With Russia Add to a Chill in Turkey's Economy,economy,,18.0,26.0,training,True
"Nov. 30 -- Paul Dales, chief Australia and New Zealand economist at Capital Economics, Australia's economy, China's economy and their outlooks for the next",5434,2015-11-30 00:39:15,Nasdaq,Australia Economy: The Outlook for 2016 - Presented by: The Aol ...,economy,,0.0,0.0,training,True
A belated recovery in business borrowing and investment has been one of the economy's critical missing ingredients since the global crisis,5437,2015-11-30 01:17:15,The Australian Financial Review,"Rising profits, business borrowing points to strengthening economic ...",economy,,0.0,0.0,training,True
"Dylan Seufer, top, and Brady Underman, both of Soderbergh Masonry, worked inside the two-story gymnasium of Kelly Walsh High School in",5441,2015-11-30 01:31:14,Billings Gazette,Tourism and construction help Wyoming's economy during oil and ...,economy,,,0.0,training,True
But realizing these economy-wide gains while providing a secure and portable safety net for all workers will require new ways of thinking by,5442,2015-11-30 01:32:14,EJ Insight,Worker protection in the gig economy,economy,,,0.0,training,True
"New Zealand business confidence rose to a six-month high in November, signalling a pick up in the economy. A net 14.5 per cent of",5443,2015-11-30 01:45:14,New Zealand Herald,Confidence at six-month high: pick up in economy,economy,,2.0,2.0,training,True
"LUXOR, Egypt """""" For weeks, a group of explorers have scanned the walls of a tomb in the Valley of the Kings, using radar and infrared devices,",5448,2015-11-30 02:03:13,New York Times,"Hope for Nefertiti's Tomb, and Egypt's Economy",economy,,33.0,37.0,training,True
"India's mobile ecosystem and app economy are thriving, with the latter on the cusp of exponential growth. Its app economy is expected to",5447,2015-11-30 02:09:11,ZDNet,Employment in India's app economy to double by 2016,economy,,5.0,5.0,training,True
The new economy is not directly competing with the old one. The new is overtaking the old by using disruptive business models which change,5455,2015-11-30 03:03:14,EJ Insight,Why I only buy stocks of the new economy,economy,0.0,0.0,0.0,training,True
Meeting our basic needs for housing and food could return growth to the economy with sustainable jobs and without massive leakages of,5459,2015-11-30 03:11:15,Trinidad Guardian,Home construction can kick-start sluggish economy,economy,,,1.0,training,True
"Beijing, Nov 30 (IANS): The head of Morgan Stanley maintained his positive outlook on the Chinese economy despite a continued slowdown",5458,2015-11-30 03:47:12,Daijiworld.com,Morgan Stanley CEO optimistic about China's economy,economy,0.0,0.0,0.0,training,True
"The UAE economy, the second largest in the Arab world, is projected to grow by around three per cent in 2015, aided by relatively strong",5468,2015-11-30 04:09:14,Emirates 24|7,UAE economy to grow 3% in 2015,economy,,2.0,4.0,training,True
"Miller said the dire economy is leading to desperate solutions. &quot;We're not seeing anybody else looking to assist us and we acknowledge that,",5469,2015-11-30 04:31:16,KETV Omaha,"Omaha Tribe interested in pursuing growing, selling of marijuana to ...",economy,2.0,2.0,3.0,training,True
"While some counterparts expect unemployment to come close to 7 per cent in 2016, ANZ chief economist Cameron Bagrie says the economy",5470,2015-11-30 04:41:12,Stuff.co.nz,Business confidence climbs for third month; ANZ says economy ...,economy,0.0,0.0,0.0,training,True
"Most Keqiang indices focus on old economic drivers like manufacturing, transportation and lending despite the growing role services and",5479,2015-11-30 04:42:13,Wall Street Journal (blog),"As Economic Doubts Grow, China Rolls Out a New 'Keqiang Index'",economy,,2.0,5.0,training,True
Brazil's Q3 GDP data will be released this week. Analysts have a close look on the data as it will confirm depth of the economic recession.,5481,2015-11-30 05:04:14,EconoTimes,Brazil economy may decelerate further in Q3,economy,0.0,0.0,0.0,training,True
"Japan's economy showed initial signs of a recovery as the production of electronic devices and cars boosted industrial output in October,",5492,2015-11-30 06:13:13,International Business Times,"Japan's Economy: Uptick In Output, Retail Sales Raise Hopes Of A ...",economy,,0.0,1.0,training,True
"3 economy through strong public spending, massive monetary easing and sweeping reforms of a post-war industrial structure that is not",5497,2015-11-30 06:28:12,New Europe,"Japans top central banker, leaders appeal for corporate help in ...",economy,,0.0,0.0,training,True
"This Indian economic development would not have started without the original and superb work ethics in Indian culture."""""" I would even argue that as part of our",5501,2015-11-30 07:00:15,Arab Times Kuwait English Daily,"'Boost trade with India, hire more experts to up economy'  'Kuwait ...",economy,,0.0,0.0,training,True
"Sweden's economy grew twice as fast as economists had predicted , easing pressure on the central bank to deliver more stimulus.",5513,2015-11-30 08:51:12,Bloomberg,Sweden's Economy Grew Twice the Estimated Pace Last Quarter,economy,1.0,3.0,3.0,training,True
"Poland should concentrate on building a stronger nation, military and economy, Defence Minister Antoni Macierewicz said on Sunday.",5528,2015-11-30 09:14:13,thenews.pl,Defence Minister: Poland must rebuild army and economy,economy,,,0.0,training,True
Macau's economy contracted a fifth straight quarter as the world's largest center of gambling was pummeled by an economic slowdown in,5525,2015-11-30 09:18:13,Bloomberg,Macau's Third-Quarter Economy Sinks 24% Compared to a Year Ago,economy,,2.0,2.0,training,True
"Car Report: 2016 Range Rover HSE is luxurious with better fuel economy. By Mike Parris November 30, 2015 5:13 am. The Range Rover has good power, and",5541,2015-11-30 10:18:20,WTOP,Car Report: 2016 Range Rover HSE is luxurious with better fuel ...,economy,,,0.0,training,True
"India's economy grew 7.4% in the second quarter of the current fiscal, compared with 7% in the previous quarter, but lower than 8.4% a year",5578,2015-11-30 12:50:17,Financial Express,Economy expands 7.4% in Q2,economy,,,1.0,training,True
"New York state officials could make some big decisions regarding casino licenses, economic development incentives and minimum wage",5585,2015-11-30 12:57:18,Albany Business Review,Big economic decisions loom heading into last month of 2015,economy,,,3.0,training,True
"Volkswagen's outgoing CEO, Martin Winterkorn, knew about the company's emissions and fuel economy cheating a full year before they",5591,2015-11-30 13:42:13,Ars Technica,"Report: VW execs knew about fuel economy, emissions cheating a ...",economy,,,13.0,training,True
 71 per cent of UAE residents strongly agree that their nation is well on track to achieving its vision of becoming an innovation-led economy,5612,2015-11-30 13:44:17,Emirates 24|7,71% residents say UAE on track to become an innovation-led ...,economy,,,1.0,training,True
"The economic impact of the Russian sanctions on Turkey announced this weekend will, in general, probably will be limited, William Jackson,",5600,2015-11-30 13:54:13,Trend News Agency,What Russian sanctions mean for Turkish economy,economy,,,0.0,training,True
"Scotland's forestry sector is contributing nearly """"1 billion to the economy through forest management, timber processing and recreation,",5611,2015-11-30 14:23:14,expressandstar.com,Scotland's forests 'bringing nearly 1bn to economy',economy,0.0,0.0,0.0,training,True
"Although the exact size of the gig or """"""freelancer"""""" economy is not known, trends are showing this group will only increase. According to Micha",5626,2015-11-30 14:40:15,Forbes,Why The CEO Of Fiverr Thinks The Future Of Work Is About The Gig ...,economy,,2.0,2.0,training,True
"India's economy grew by 7.4% year over year in the third quarter, an acceleration from expansion of 7.0% the 7.3% median forecast. The period",5627,2015-11-30 14:43:16,Barron's (blog),"Emerging Markets Today: 2 Brazil Execs Resign; India, World's ...",economy,0.0,0.0,1.0,training,True
"Super-hurricanes, mega-droughts and 1000-year floods have made big news in the months leading to this week's global climate talks in Paris.",5625,2015-11-30 14:53:14,USA TODAY,Don't let climate debate hinder economy: Column,economy,0.0,0.0,0.0,training,True
BERLIN German Economy Minister Sigmar Gabriel said on Monday that economic weakness in China and Latin American could have a,5643,2015-11-30 15:02:13,Reuters,"Uncertainty in China, Latin America could impact German economy ...",economy,,0.0,0.0,training,True
The U.S. economic recovery continues to sputter since the Great Recession of 2008. One of the most important signs of a healthy economy is its,5657,2015-11-30 16:43:13,Forbes,The US Economy Through The Lens Of The US Labor Force,economy,,,2.0,training,True
World leaders opened an historic summit in the French capital on Monday with &quot;the hope of all of humanity&quot; laid on their shoulders as they,5661,2015-11-30 16:58:17,IBNLive,"LIVE: Convergence between economy, ecology and energy should ...",economy,,,1.0,training,True
"The Minister for the Economy, Investment and Small Business, Chris Cardona, attended the Competitiveness Council meeting in Brussels",5666,2015-11-30 17:02:16,Malta Independent Online,Malta amongst best performers for Foreign Direct Investment ...,economy,,2.0,2.0,training,True
"Our current economic systems have failed to keep pace with today's business transactions. Technology will soon close the gap, Gartner says. Make way for the",5660,2015-11-30 17:04:12,TechTarget,"Technology, IoT monetization to usher in 'programmable economy'",economy,,0.0,0.0,training,True
"A flurry of data released Wednesday signaled that the fundamentals of the U.S. economy remain solid, if unspectacular, three weeks before the",5675,2015-11-30 17:18:15,Claremore Daily Progress,Clear signs of a steady US economy,economy,,,0.0,training,True
"Perhaps that's why the gig economy is seen as such a promising development. Imagine selling your resources """""" house, car, skills, or time in a",5673,2015-11-30 17:55:12,Forbes,The four actions to make the gig economy work for you,economy,8.0,9.0,9.0,training,True
"&quot;This suggests still a fairly tepid performance in the economy although some of the gains are essentially due to value addition, low commodity",5678,2015-11-30 18:08:13,Reuters,Expert views - India's economic growth accelerates to 7.4 percent in ...,economy,15.0,15.0,15.0,training,True
"Economies are experiencing on going innovation upheaval. As a taste, banks are likely to halve their costs (and staff numbers) through",5706,2015-11-30 19:46:17,Business Spectator,A welcome disruption to the economy,economy,,,1.0,training,True
"The so-called """"""sharing economy"""""" has been growing for years, with millions of Canadians making use of such services as Uber and Airbnb.",5707,2015-11-30 19:48:17,Edmonton Journal,High time governments embraced the sharing economy,economy,,,3.0,training,True
"According to recent studies, half of Americans think that immigrants are harming the economy, and some of the political anti-immigrant rhetoric",5703,2015-11-30 19:59:12,Business Insider,Immigrant women adjust incredibly well to the US economy,economy,,,9.0,training,True
"More money is flowing into credit unions in Broward, Palm Beach and Miami-Dade counties as the local economy improves, according to the",5726,2015-11-30 20:33:17,Sun Sentinel,South Florida credit unions write more loans as economy improves,economy,,,0.0,training,True
"Companies need to find new ways to increase value by leveraging technologies including cloud, automation, analytics, artificial intelligence",5728,2015-11-30 20:47:12,Forbes,The As-A-Service Economy Is Untapped,economy,,3.0,3.0,training,True
But climate change could also have a bigger impact on the economies of the U.S. and other developed nations than many experts have thought,5730,2015-11-30 20:55:12,Yahoo Finance,A warming planet could wreck the economy,economy,,3.0,5.0,training,True
"The IMF will add the yuan to its basket of reserve currencies, an international stamp of approval of the strides China has made integrating into a",5731,2015-11-30 21:04:14,Bloomberg,IMF Backs Yuan: What This Means for China's Economy,economy,0.0,0.0,1.0,training,True
"According to Ellen Zentner of Morgan Stanley, this is a likely outcome and a rate hike by year end won't hurt the economy. According to Zentner",5741,2015-11-30 21:21:13,Benzinga,Morgan Stanley: December Rate Hike Wouldn't Hurt Economy,economy,,0.0,0.0,training,True
Nov 30 -- Brandywine Global co-director Chen Zhao discusses China's economy with Bloomberg's Joe Weisenthal and Scarlet Fu on &quot;What'd,5753,2015-11-30 22:42:12,Yahoo Finance,Is China's Economy on Its Way Up?,economy,0.0,0.0,0.0,training,True
But a Reuters analysis of corporate filings and economic data suggests shipping's heroic role in Greece's economy is largely a myth.,5755,2015-11-30 22:44:13,The Globe and Mail,Shipping's heroic role in the Greek economy is largely a myth: analysis,economy,0.0,0.0,0.0,training,True
The EIA recently published a global oil consumption data sheet that provided a clear picture of where the global oil economy is currently,5774,2015-12-01 00:07:12,OilPrice.com,India's Oil Consumption Primed For Growth As Economy Thrives,economy,,,0.0,training,True
Although many companies have implemented concrete sustainability actions in the last decade there is still a lot of work to be done -- not just in,5775,2015-12-01 00:15:12,Huffington Post,How to Bring A Net Zero Emissions Economy Into Reality,economy,,,6.0,training,True
"India's economic growth picked up in July-September, outpacing China on improving domestic demand and manufacturing activity, and the",5779,2015-12-01 00:54:12,CNBC,India's economy outpaces China; RBI seen holding rates,economy,,5.0,6.0,training,True
More than half of the world's natural disasters occurred in the Asia Pacific in 2014 and Australia is the most vulnerable advanced economy to,5786,2015-12-01 01:21:12,The Guardian,No more 'business as usual' for Australia as climate change hits ...,economy,6.0,6.0,7.0,training,True
"WHEN we say that the economic stagnation in this country has an international dimension to it, those who are satisfied with the status-quo",5788,2015-12-01 01:34:13,Vanguard,We can fix this economy,economy,,5.0,6.0,training,True
What China's PMI Report Tells Us About the Economy and the state of Australia's economy with Bloomberg's Rishaad Salamat on &quot;Trending,5800,2015-12-01 02:44:13,Yahoo Finance,What China's PMI Report Tells Us About the Economy,economy,0.0,0.0,0.0,training,True
"SYDNEY: Australia's economy enjoyed a huge lift last quarter from a rebound in resource exports, helping fill a hole left by slumping business",5805,2015-12-01 03:20:13,Economic Times,Australia economy gets big boost from exports in Q3,economy,,2.0,2.0,training,True
"Economy tipped to have grown 0.8 pct in Q3, 2.4 pct y/y Tuesday as data showed exports provided a huge lift to the economy last quarter and",5815,2015-12-01 03:54:12,Reuters,WRAPUP 1-Australia's central bank holds rates as exports lift economy,economy,,,5.0,training,True
"In view of its strong economic performance, some have argued that Vietnam should be rated even more highly. However, a deeper look shows",5812,2015-12-01 04:02:17,Nikkei Asian Review,"Trinh Nguyen Vietnam's rating rises, but economy is still shaky",economy,0.0,0.0,0.0,training,True
"Hayden Briscoe, director of Asia-Pacific fixed income at AllianceBernstein, discusses Australia's economy and the RBA's decision on interest",5820,2015-12-01 04:42:16,Bloomberg,Assessing the State of Australia's Economy,economy,0.0,0.0,0.0,training,True
&quot;Asia's economy looks decidedly wobbly going into year-end. Exports continue to struggle amid sluggish demand in the West and other,5824,2015-12-01 05:05:12,Reuters,GLOBAL ECONOMY-Asia's factories still struggling as US rate hike ...,economy,,1.0,1.0,training,True
"The data will affect revisions to Japan's economic growth figures for the same period, with the Cabinet Office scheduled to release revised",5834,2015-12-01 05:49:27,Nikkei Asian Review,Japan's 2nd-qtr business investment up 11% despite economic ...,economy,0.0,0.0,0.0,training,True
"The Reserve Bank stated that its board had again: """"""judged that the prospects for an improvement in economic conditions had firmed a little over",5839,2015-12-01 05:56:17,Business Spectator,Australia's economy is proving more Indian than Greek,economy,,,2.0,training,True
"In its statement accompanying the rate decision, the RBI said it would use available room to stimulate the economy if needed, but warned that a",5836,2015-12-01 06:16:12,CNBC,"As India's growth outpaces China, RBI leaves rates steady",economy,1.0,1.0,1.0,training,True
"(Bloomberg) -- Swiss economic growth unexpectedly stagnated in the third quarter, with momentum held back by weak performance in the",5849,2015-12-01 07:16:12,swissinfo.ch,Swiss Economy Unexpectedly Slowed in Third Quarter on Franc,economy,,0.0,0.0,training,True
"Yes, banks would be stable and safe, but they would not be lending sufficiently to the real economy or supporting growth. On the other side,",5850,2015-12-01 07:23:14,BBC News,The risks stalking the UK economy,economy,0.0,0.0,0.0,training,True
"Agreed that this is an extreme case here in Bangladesh but extremes are useful at illustrating, well, what happens at the extreme.",5873,2015-12-01 10:47:12,Forbes,The Informal Economy Is The Problem With A Minimum Wage That's ...,economy,,1.0,1.0,training,True
But when they have dispersed only Britain will be foolish enough to tie one arm of its economy behind its back by legally committing itself,5875,2015-12-01 10:52:13,Express.co.uk,"Climate change is not as important as our economy, says Ross Clark",economy,,0.0,0.0,training,True
"Brazil's economy shrank 1.7 percent in the third quarter following a 1.9 percent decrease in the April to June quarter, according to media reports",5893,2015-12-01 11:41:12,International Business Times,Brazil's Economy Shrank 1.7% In Third Quarter,economy,,0.0,0.0,training,True
